timeout_s,latencia_media_ms,repeticion,codigo,tiempo_ms
0.5,0,1,201,60.8
0.5,0,2,201,55.6
0.5,0,3,201,57.3
0.5,0,4,201,58.5
0.5,0,5,201,56.0
0.5,0,6,201,55.3
0.5,0,7,201,57.4
0.5,0,8,201,55.0
0.5,0,9,201,55.5
0.5,0,10,201,56.3
0.5,0,11,201,55.9
0.5,0,12,201,57.7
0.5,0,13,201,54.4
0.5,0,14,201,57.1
0.5,0,15,201,56.1
0.5,0,16,201,55.3
0.5,0,17,201,60.4
0.5,0,18,201,55.4
0.5,0,19,201,55.6
0.5,0,20,201,59.1
0.5,0,21,201,59.6
0.5,0,22,201,58.6
0.5,0,23,201,55.3
0.5,0,24,201,56.9
0.5,0,25,201,55.0
0.5,0,26,201,55.7
0.5,0,27,201,56.1
0.5,0,28,201,55.5
0.5,0,29,201,57.7
0.5,0,30,201,55.0
0.5,250,1,201,84.5
0.5,250,2,201,351.4
0.5,250,3,201,342.7
0.5,250,4,201,243.4
0.5,250,5,201,187.7
0.5,250,6,201,347.3
0.5,250,7,201,327.3
0.5,250,8,201,212.7
0.5,250,9,201,231.6
0.5,250,10,201,298.5
0.5,250,11,201,270.7
0.5,250,12,201,217.5
0.5,250,13,201,412.1
0.5,250,14,201,309.1
0.5,250,15,201,262.9
0.5,250,16,201,169.7
0.5,250,17,201,401.1
0.5,250,18,201,263.8
0.5,250,19,201,244.8
0.5,250,20,201,310.0
0.5,250,21,201,272.7
0.5,250,22,201,327.0
0.5,250,23,201,364.3
0.5,250,24,201,445.5
0.5,250,25,201,432.2
0.5,250,26,201,336.6
0.5,250,27,201,290.9
0.5,250,28,201,217.7
0.5,250,29,201,286.4
0.5,250,30,201,299.2
0.5,500,1,503,508.6
0.5,500,2,503,507.9
0.5,500,3,201,413.4
0.5,500,4,503,507.4
0.5,500,5,503,508.2
0.5,500,6,503,508.5
0.5,500,7,201,398.8
0.5,500,8,201,414.6
0.5,500,9,503,507.8
0.5,500,10,503,508.1
0.5,500,11,503,508.1
0.5,500,12,503,468.4
0.5,500,13,503,507.3
0.5,500,14,201,443.1
0.5,500,15,503,508.0
0.5,500,16,503,508.1
0.5,500,17,201,122.8
0.5,500,18,503,507.0
0.5,500,19,503,507.8
0.5,500,20,201,230.5
0.5,500,21,201,427.7
0.5,500,22,201,431.4
0.5,500,23,503,507.9
0.5,500,24,201,420.8
0.5,500,25,503,497.4
0.5,500,26,503,506.9
0.5,500,27,503,507.7
0.5,500,28,503,510.0
0.5,500,29,503,507.6
0.5,500,30,503,466.8
0.5,1000,1,503,508.7
0.5,1000,2,503,508.0
0.5,1000,3,503,507.7
0.5,1000,4,503,507.8
0.5,1000,5,503,508.3
0.5,1000,6,503,508.1
0.5,1000,7,201,387.4
0.5,1000,8,503,507.0
0.5,1000,9,503,508.5
0.5,1000,10,503,507.1
0.5,1000,11,503,508.9
0.5,1000,12,201,307.4
0.5,1000,13,503,507.9
0.5,1000,14,503,508.7
0.5,1000,15,503,507.1
0.5,1000,16,201,446.6
0.5,1000,17,503,507.7
0.5,1000,18,503,508.0
0.5,1000,19,503,507.9
0.5,1000,20,503,508.5
0.5,1000,21,503,508.0
0.5,1000,22,201,394.2
0.5,1000,23,503,507.5
0.5,1000,24,503,508.4
0.5,1000,25,503,508.5
0.5,1000,26,503,507.3
0.5,1000,27,503,507.6
0.5,1000,28,503,507.1
0.5,1000,29,503,507.9
0.5,1000,30,503,508.9
0.5,2000,1,503,509.5
0.5,2000,2,503,509.0
0.5,2000,3,503,508.5
0.5,2000,4,503,510.9
0.5,2000,5,503,510.7
0.5,2000,6,503,510.0
0.5,2000,7,503,507.6
0.5,2000,8,503,509.5
0.5,2000,9,503,507.4
0.5,2000,10,503,508.1
0.5,2000,11,503,508.2
0.5,2000,12,503,507.0
0.5,2000,13,503,557.1
0.5,2000,14,503,508.3
0.5,2000,15,503,508.1
0.5,2000,16,503,508.4
0.5,2000,17,503,508.0
0.5,2000,18,503,507.6
0.5,2000,19,503,508.7
0.5,2000,20,503,509.1
0.5,2000,21,503,508.5
0.5,2000,22,503,508.2
0.5,2000,23,503,507.9
0.5,2000,24,503,508.1
0.5,2000,25,503,507.0
0.5,2000,26,503,507.7
0.5,2000,27,503,508.5
0.5,2000,28,503,508.0
0.5,2000,29,503,507.3
0.5,2000,30,503,507.4
1,0,1,201,60.5
1,0,2,201,54.9
1,0,3,201,56.1
1,0,4,201,56.3
1,0,5,201,56.8
1,0,6,201,55.0
1,0,7,201,55.9
1,0,8,201,56.2
1,0,9,201,55.6
1,0,10,201,56.6
1,0,11,201,56.3
1,0,12,201,59.3
1,0,13,201,56.0
1,0,14,201,57.0
1,0,15,201,55.0
1,0,16,201,61.1
1,0,17,201,55.8
1,0,18,201,55.1
1,0,19,201,56.1
1,0,20,201,56.4
