timeout_s,latencia_media_ms,n,exito_201_pct,rechazo_503_pct,otros_codigos,p50_ms,p95_ms,max_ms,reservas_huerfanas
0.5,0,30,100.0,0.0,0,56.0,60.0,60.8,0
0.5,250,30,100.0,0.0,0,294.7,423.2,445.5,0
0.5,500,30,30.0,70.0,0,507.4,508.6,510.0,0
0.5,1000,30,13.3,86.7,0,507.9,508.8,508.9,0
0.5,2000,30,0.0,100.0,0,508.2,510.8,557.1,0
1,0,30,100.0,0.0,0,56.2,60.0,61.1,0
1,250,30,100.0,0.0,0,264.5,407.8,443.5,0
1,500,30,100.0,0.0,0,482.1,809.3,870.6,0
1,1000,30,43.3,56.7,0,1004.5,1009.3,1010.0,0
1,2000,30,0.0,100.0,0,1008.0,1009.4,1009.9,0
2,0,30,100.0,0.0,0,56.6,60.5,61.2,0
2,250,30,100.0,0.0,0,271.6,375.9,420.6,0
2,500,30,100.0,0.0,0,538.5,707.0,788.3,0
2,1000,30,100.0,0.0,0,1018.9,1353.2,1864.0,0
2,2000,30,50.0,50.0,0,1917.6,2009.3,2009.5,0
30,0,30,100.0,0.0,0,56.5,59.6,60.1,0
30,250,30,100.0,0.0,0,282.6,440.0,471.3,0
30,500,30,100.0,0.0,0,586.2,739.8,801.9,0
30,1000,30,100.0,0.0,0,917.6,1347.7,1707.2,0
30,2000,30,100.0,0.0,0,2025.1,2963.2,3235.9,0
