timeout_s,latencia_media_ms,repeticion,codigo,tiempo_ms
0.5,0,1,201,61.0
0.5,0,2,201,56.3
0.5,0,3,201,56.7
0.5,0,4,201,58.8
0.5,0,5,201,55.9
0.5,0,6,201,55.8
0.5,0,7,201,56.5
0.5,0,8,201,58.9
0.5,0,9,201,56.0
0.5,0,10,201,55.9
0.5,0,11,201,56.6
0.5,0,12,201,57.3
0.5,0,13,201,58.7
0.5,0,14,201,55.0
0.5,0,15,201,57.0
0.5,0,16,201,56.2
0.5,0,17,201,61.2
0.5,0,18,201,57.9
0.5,0,19,201,57.6
0.5,0,20,201,56.0
0.5,0,21,201,55.8
0.5,0,22,201,56.0
0.5,0,23,201,55.6
0.5,0,24,201,55.9
0.5,0,25,201,56.5
0.5,0,26,201,55.6
0.5,0,27,201,59.9
0.5,0,28,201,56.0
0.5,0,29,201,55.7
0.5,0,30,201,55.1
0.5,250,1,201,234.5
0.5,250,2,201,290.7
0.5,250,3,201,193.0
0.5,250,4,201,287.4
0.5,250,5,201,351.3
0.5,250,6,201,376.5
0.5,250,7,201,388.1
0.5,250,8,201,166.4
0.5,250,9,201,265.8
0.5,250,10,201,183.6
0.5,250,11,201,254.3
0.5,250,12,201,257.8
0.5,250,13,201,338.0
0.5,250,14,201,204.7
0.5,250,15,201,338.3
0.5,250,16,201,263.3
0.5,250,17,201,196.7
0.5,250,18,201,235.9
0.5,250,19,201,237.3
0.5,250,20,201,281.2
0.5,250,21,201,161.5
0.5,250,22,201,290.1
0.5,250,23,201,183.9
0.5,250,24,201,345.3
0.5,250,25,201,307.7
0.5,250,26,201,281.1
0.5,250,27,201,202.1
0.5,250,28,201,284.7
0.5,250,29,201,188.8
0.5,250,30,201,232.4
0.5,500,1,201,464.3
0.5,500,2,201,492.4
0.5,500,3,201,230.4
0.5,500,4,503,508.0
0.5,500,5,201,473.4
0.5,500,6,201,275.7
0.5,500,7,201,450.2
0.5,500,8,503,507.2
0.5,500,9,201,499.6
0.5,500,10,503,509.4
0.5,500,11,201,448.2
0.5,500,12,201,507.4
0.5,500,13,201,443.7
0.5,500,14,201,496.0
0.5,500,15,503,507.3
0.5,500,16,201,13.8
0.5,500,17,503,553.0
0.5,500,18,503,511.0
0.5,500,19,503,510.6
0.5,500,20,503,508.1
0.5,500,21,503,508.3
0.5,500,22,201,402.3
0.5,500,23,201,499.5
0.5,500,24,503,507.8
0.5,500,25,503,507.8
0.5,500,26,201,168.4
0.5,500,27,503,507.3
0.5,500,28,201,458.5
0.5,500,29,503,507.3
0.5,500,30,503,506.9
0.5,1000,1,503,507.7
0.5,1000,2,503,508.7
0.5,1000,3,503,508.2
0.5,1000,4,503,508.5
0.5,1000,5,503,507.9
0.5,1000,6,503,507.9
0.5,1000,7,503,508.6
0.5,1000,8,503,507.6
0.5,1000,9,201,324.3
0.5,1000,10,503,508.8
0.5,1000,11,201,406.2
0.5,1000,12,503,507.8
0.5,1000,13,503,509.6
0.5,1000,14,503,512.2
0.5,1000,15,503,510.3
0.5,1000,16,503,510.6
0.5,1000,17,503,510.1
0.5,1000,18,503,509.7
0.5,1000,19,503,508.1
0.5,1000,20,503,509.1
0.5,1000,21,503,509.5
0.5,1000,22,503,508.2
0.5,1000,23,503,508.9
0.5,1000,24,503,508.8
0.5,1000,25,503,508.1
0.5,1000,26,503,509.1
0.5,1000,27,503,508.0
0.5,1000,28,503,507.9
0.5,1000,29,503,508.0
0.5,1000,30,503,507.4
0.5,2000,1,503,509.9
0.5,2000,2,503,507.4
0.5,2000,3,503,508.3
0.5,2000,4,503,508.6
0.5,2000,5,503,508.1
0.5,2000,6,503,507.9
0.5,2000,7,503,508.1
0.5,2000,8,503,508.3
0.5,2000,9,503,508.4
0.5,2000,10,503,507.3
0.5,2000,11,503,507.5
0.5,2000,12,503,508.4
0.5,2000,13,503,508.8
0.5,2000,14,503,508.1
0.5,2000,15,503,506.9
0.5,2000,16,503,508.1
0.5,2000,17,503,564.2
0.5,2000,18,503,508.4
0.5,2000,19,503,509.3
0.5,2000,20,503,508.5
0.5,2000,21,503,507.9
0.5,2000,22,503,507.6
0.5,2000,23,503,507.9
0.5,2000,24,503,509.0
0.5,2000,25,503,508.1
0.5,2000,26,503,507.8
0.5,2000,27,503,507.7
0.5,2000,28,503,507.7
0.5,2000,29,503,507.8
0.5,2000,30,503,508.0
1,0,1,201,61.4
1,0,2,201,55.9
1,0,3,201,57.5
1,0,4,201,58.0
1,0,5,201,57.1
1,0,6,201,58.5
1,0,7,201,57.7
1,0,8,201,57.0
1,0,9,201,58.1
1,0,10,201,55.4
1,0,11,201,55.7
1,0,12,201,56.2
1,0,13,201,56.5
1,0,14,201,56.6
1,0,15,201,55.2
1,0,16,201,55.4
1,0,17,201,55.8
1,0,18,201,56.2
1,0,19,201,55.4
1,0,20,201,56.9
1,0,21,201,56.3
1,0,22,201,55.4
1,0,23,201,55.6
1,0,24,201,60.5
1,0,25,201,55.9
1,0,26,201,59.1
1,0,27,201,56.4
1,0,28,201,57.1
1,0,29,201,55.9
1,0,30,201,59.2
1,250,1,201,202.7
1,250,2,201,186.3
1,250,3,201,368.5
1,250,4,201,264.0
1,250,5,201,318.4
1,250,6,201,208.9
1,250,7,201,455.2
1,250,8,201,233.3
1,250,9,201,182.0
1,250,10,201,283.5
1,250,11,201,233.9
1,250,12,201,160.8
1,250,13,201,322.2
1,250,14,201,277.9
1,250,15,201,326.2
1,250,16,201,288.3
1,250,17,201,345.7
1,250,18,201,340.0
1,250,19,201,226.6
1,250,20,201,400.7
1,250,21,201,290.8
1,250,22,201,319.2
1,250,23,201,204.4
1,250,24,201,348.6
1,250,25,201,295.4
1,250,26,201,293.8
1,250,27,201,270.3
1,250,28,201,266.4
1,250,29,201,246.1
1,250,30,201,264.0
1,500,1,201,494.7
1,500,2,201,556.4
1,500,3,201,804.9
1,500,4,201,594.4
1,500,5,201,561.2
1,500,6,201,423.1
1,500,7,201,369.5
1,500,8,201,505.6
1,500,9,201,467.9
1,500,10,201,586.9
1,500,11,201,344.9
1,500,12,201,417.2
1,500,13,201,395.6
1,500,14,201,485.9
1,500,15,201,280.1
1,500,16,201,374.0
1,500,17,201,439.8
1,500,18,201,511.8
1,500,19,201,461.9
1,500,20,201,606.4
1,500,21,201,637.0
1,500,22,201,550.1
1,500,23,201,506.6
1,500,24,201,551.1
1,500,25,201,409.9
1,500,26,201,419.0
1,500,27,201,275.7
1,500,28,201,419.2
1,500,29,201,510.1
1,500,30,201,430.4
1,1000,1,201,987.0
1,1000,2,201,766.6
1,1000,3,201,810.7
1,1000,4,201,957.4
