timeout_s,latencia_media_ms,n,exito_201_pct,rechazo_503_pct,otros_codigos,p50_ms,p95_ms,max_ms,reservas_huerfanas
0.5,0,30,100.0,0.0,0,56.2,60.5,61.2,0
0.5,250,30,100.0,0.0,0,260.6,365.2,388.1,0
0.5,500,30,53.3,46.7,0,503.2,510.8,553.0,14
0.5,1000,30,6.7,93.3,0,508.4,510.5,512.2,28
0.5,2000,30,0.0,100.0,0,508.1,509.6,564.2,30
1,0,30,100.0,0.0,0,56.5,59.9,61.4,0
1,250,30,100.0,0.0,0,280.7,386.2,455.2,0
1,500,30,100.0,0.0,0,476.9,623.2,804.9,0
1,1000,30,70.0,30.0,0,916.5,1008.5,1008.7,9
1,2000,30,6.7,93.3,0,1008.0,1009.2,1010.9,28
2,0,30,100.0,0.0,0,56.3,61.1,63.4,0
2,250,30,100.0,0.0,0,279.3,373.0,424.9,0
2,500,30,100.0,0.0,0,550.9,787.8,1164.4,0
2,1000,30,100.0,0.0,0,915.1,1487.4,1751.5,0
2,2000,30,50.0,50.0,0,1977.5,2009.0,2009.8,15
30,0,30,100.0,0.0,0,58.8,63.3,63.8,0
30,250,30,100.0,0.0,0,256.1,394.2,436.8,0
30,500,30,100.0,0.0,0,547.2,715.7,872.7,0
30,1000,30,100.0,0.0,0,1034.8,1361.1,1430.6,0
30,2000,30,100.0,0.0,0,1822.2,2918.7,3159.6,0
